"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"D0","LED_3528","LED_3528_Hubei_Kento_Elec",158.000000,-87.000000,-90.000000,top
"D1","LED_3528","LED_3528_Hubei_Kento_Elec",153.000000,-87.000000,-90.000000,top
"D2","LED_3528","LED_3528_Hubei_Kento_Elec",148.000000,-87.000000,-90.000000,top
"D3","LED_3528","LED_3528_Hubei_Kento_Elec",143.000000,-87.000000,-90.000000,top
"D4","LED_3528","LED_3528_Hubei_Kento_Elec",138.000000,-87.000000,-90.000000,top
"D5","LED_3528","LED_3528_Hubei_Kento_Elec",133.000000,-87.000000,-90.000000,top
"D6","LED_3528","LED_3528_Hubei_Kento_Elec",128.000000,-87.000000,-90.000000,top
"D7","LED_3528","LED_3528_Hubei_Kento_Elec",123.000000,-87.000000,-90.000000,top
"D8","LED-6_3535","RS-3535MWAR",155.500000,-93.000000,90.000000,top
"D9","LED-6_3535","RS-3535MWAR",145.500000,-93.000000,90.000000,top
"D10","LED-6_3535","RS-3535MWAR",135.500000,-93.000000,90.000000,top
"D11","LED-6_3535","RS-3535MWAR",125.500000,-93.000000,90.000000,top
"Q1","MMBF170","SOT-23",117.210000,-86.800000,0.000000,top
"Q2","MMBF170","SOT-23",173.355000,-101.600000,180.000000,top
"R1","220R","R_1206_3216Metric",158.000000,-79.300000,-90.000000,top
"R2","220R","R_1206_3216Metric",154.000000,-79.300000,-90.000000,top
"R3","220R","R_1206_3216Metric",150.000000,-79.300000,-90.000000,top
"R4","220R","R_1206_3216Metric",146.000000,-79.300000,-90.000000,top
"R5","220R","R_1206_3216Metric",142.000000,-79.300000,-90.000000,top
"R6","220R","R_1206_3216Metric",138.000000,-79.300000,-90.000000,top
"R7","220R","R_1206_3216Metric",134.000000,-79.300000,-90.000000,top
"R8","220R","R_1206_3216Metric",130.000000,-79.300000,-90.000000,top
"R9","100R","R_1206_3216Metric",146.000000,-103.500000,-90.000000,top
"R10","100R","R_1206_3216Metric",146.000000,-109.000000,-90.000000,top
"R11","2.7K","R_1206_3216Metric",126.000000,-79.300000,-90.000000,top
"R12","1.8K","R_1206_3216Metric",118.000000,-79.300000,-90.000000,top
"R13","3.9K","R_1206_3216Metric",122.000000,-79.300000,-90.000000,top
"R14","10K","R_1206_3216Metric",112.520000,-87.050000,-90.000000,top
"R15","10K","R_1206_3216Metric",168.550000,-101.800000,90.000000,top
"R16","18R","R_1206_3216Metric",155.380000,-70.520000,0.000000,top
"R17","10K","R_1206_3216Metric",168.550000,-107.800000,90.000000,top
"R18","10K","R_1206_3216Metric",172.550000,-107.800000,90.000000,top
"SW1","SW_Push","SW_SMD_PUSH_6mm_h7mm",154.432000,-106.172000,-90.000000,top
"SW2","SW_Push","SW_SMD_PUSH_6mm_h7mm",162.560000,-106.172000,-90.000000,top
"SW3","SW_Push","SW_SMD_PUSH_6mm_h4.3mm",138.430000,-106.172000,90.000000,top
"SW4","SW_DIP_x02","SW_DIP_SPSTx02_Slide_Dungguan-Guangzhu-Industrial_DIS02LSGET_W6.0mm_P2.54mm",167.360000,-79.670000,180.000000,top
